source,source_type,mentions,countries,confidence
Progressive Forum,named (unclassified),1,1,medium
Giorgi Diasamidze,named (unclassified),1,1,medium
NGO Social Justice Center (SJC),named (unclassified),1,1,medium
Labor Inspectorate,named (unclassified),1,1,medium
EU Monitoring Mission in Georgia,named (unclassified),1,1,medium
Unions and NGOs,named (unclassified),1,1,medium
German Institute for Human Rights,named (unclassified),1,1,medium
Federal Anti-Discrimination Agency,named (unclassified),1,1,medium
Federal Office for Migration and Refugees,named (unclassified),1,1,medium
NGO Amadeu Antonio Foundation,named (unclassified),1,1,medium
Statistical Service,named (unclassified),1,1,medium
A July EU Rule of Law Report,named (unclassified),1,1,medium
Confederation (ADEDY),named (unclassified),1,1,medium
Equal Rights Beyond Borders,named (unclassified),1,1,medium
Union of Asylum Service Contract Workers,named (unclassified),1,1,medium
Association of Journalists of Guatemala,named (unclassified),1,1,medium
Special Rapporteur for Freedom of Expression Pedro Vaca Villarreal,named (unclassified),1,1,medium
Control Mobility Self-exiled Guatemalans,named (unclassified),1,1,medium
Journalists Union,named (unclassified),1,1,medium
NGO Guinea-Bissau Human Rights League (GBHRL),named (unclassified),1,1,medium
Students Union,named (unclassified),1,1,medium
Guinean Tribunal Court,named (unclassified),1,1,medium
Court of First Instance of Dixinn,named (unclassified),1,1,medium
Guyanese Bureau of Statistics,named (unclassified),1,1,medium
In January Terrence Sandy,named (unclassified),1,1,medium
NGO Doctors Without Borders (MSF),named (unclassified),1,1,medium
NGO Better Work Haiti (BWH),named (unclassified),1,1,medium
National Human Rights Defense Network,named (unclassified),1,1,medium
National Human Rights Ombudsman (CONADEH),named (unclassified),1,1,medium
Justice Officials,named (unclassified),1,1,medium
various ngos,unnamed/generic,1,1,low
U.S.-based Corporate Accountability Lab,named (unclassified),1,1,medium
Seafood Exporters Association of India,named (unclassified),1,1,medium
Involuntary Disappearance,named (unclassified),1,1,medium
Canadian Prime Minister Justin Trudeau,named (unclassified),1,1,medium
Department of Justice,named (unclassified),1,1,medium
media report,unnamed/generic,1,1,low
Ministry of External Affairs,named (unclassified),1,1,medium
Europe-based NGO Human Rights Monitor (HRM),named (unclassified),1,1,medium
human rights monitor,unnamed/generic,1,1,low
Yeremias Magai,named (unclassified),1,1,medium
NGO Southeast Asia Freedom of Expression Network,named (unclassified),1,1,medium
Ministry of Manpower,named (unclassified),1,1,medium
Kurdistan Human Rights Network (KHRN),named (unclassified),1,1,medium
NGO Iran Human Rights,named (unclassified),1,1,medium
Iran Human Rights,named (unclassified),1,1,medium
Independent International Fact-Finding Mission on Iran,named (unclassified),1,1,medium
Situation of Human Rights in Iran,named (unclassified),1,1,medium
NGO Reporters,named (unclassified),1,1,medium
Iranian National Tax Administration,named (unclassified),1,1,medium
Radio Free Europe,named (unclassified),1,1,medium
Media and NGOs,named (unclassified),1,1,medium
NGO PEN America,named (unclassified),1,1,medium
Radio Zamaneh,named (unclassified),1,1,medium
Equality Now,named (unclassified),1,1,medium
Statistical Center of Iran,named (unclassified),1,1,medium
international journalist,unnamed/generic,1,1,low
Iran International,named (unclassified),1,1,medium
Iraqi Bar Association,named (unclassified),1,1,medium
Shafaq News,named (unclassified),1,1,medium
Al Nakheel Center for Press Rights and Freedoms,named (unclassified),1,1,medium
Defense of Press Freedom in Iraq,named (unclassified),1,1,medium
Press Freedom Advocacy Association,named (unclassified),1,1,medium
Ronus Federation (RF),named (unclassified),1,1,medium
Metro Center,named (unclassified),1,1,medium
Red Cross (ICRC),named (unclassified),1,1,medium
Micheál Martin,named (unclassified),1,1,medium
Punam Rane,named (unclassified),1,1,medium
