source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
UN Mission in South Sudan (UNMISS),named (unclassified),1,0,1,0,-1,-1
Safeguard Defenders,named (unclassified),2,3,1,1,1,0
Minors and Child Protection Brigade,named (unclassified),1,0,1,0,-1,-1
Dutch Council of Psychiatrists,named (unclassified),1,0,1,0,-1,-1
UN Office on Drugs and Crime,named (unclassified),1,0,1,0,-1,-1
Kiribati Trade Union Congress,named (unclassified),1,0,1,0,-1,-1
Coercion In April Safeguard Defenders,named (unclassified),0,1,0,1,1,1
Voice of America,named (unclassified),2,1,2,1,-1,-1
NGO Voice of International Students in Cyprus,named (unclassified),1,0,1,0,-1,-1
UN Panel of Experts on Libya,named (unclassified),1,0,1,0,-1,-1
Control Mobility Self-exiled Guatemalans,named (unclassified),0,1,0,1,1,1
Multi-Stakeholder Forum,named (unclassified),1,0,1,0,-1,-1
Darfur Bar Association,named (unclassified),1,0,1,0,-1,-1
Oman Center for Human Rights and Democracy,named (unclassified),0,1,0,1,1,1
First Nation,named (unclassified),1,0,1,0,-1,-1
Australian Bureau of Statistics in August,named (unclassified),1,0,1,0,-1,-1
National Autonomous Union for Public Administration Personnel (SNAPAP),named (unclassified),1,0,1,0,-1,-1
OSH Enforcement The Ministry of Foreign Affairs,named (unclassified),0,1,0,1,1,1
Better Work Haiti (BWH),named (unclassified),1,0,1,0,-1,-1
Human Rights Commissioner,named (unclassified),1,0,1,0,-1,-1
Health Agency,named (unclassified),1,0,1,0,-1,-1
UN Office for Coordination of Humanitarian Affairs,named (unclassified),1,0,1,0,-1,-1
Association for Human Rights in Ethiopia,named (unclassified),1,0,1,0,-1,-1
Working Group,named (unclassified),1,0,1,0,-1,-1
NHRC and NGOs,named (unclassified),0,1,0,1,1,1
Charges Media and NGOs,named (unclassified),0,1,0,1,1,1
Psychological Defense Agency (MPF),named (unclassified),0,1,0,1,1,1
Dutch Foreign Ministry,named (unclassified),1,0,1,0,-1,-1
Empowerment of Women Sima Sami Bahous,named (unclassified),1,0,1,0,-1,-1
Institute for Activism and Social Change (IANS),named (unclassified),1,0,1,0,-1,-1
Uganda Prisons Service (UPS),named (unclassified),1,0,1,0,-1,-1
Health and Safety Executive (HSE),named (unclassified),0,1,0,1,1,1
Minister of Finance and Development Planning Retselisitsoe Matlanyane,named (unclassified),1,0,1,0,-1,-1
AIDS Help Society,named (unclassified),1,0,1,0,-1,-1
Australia-based NGO Many Coloured Sky,named (unclassified),1,0,1,0,-1,-1
Department of Statistics,named (unclassified),1,0,1,0,-1,-1
NGO FairSquare,named (unclassified),1,0,1,0,-1,-1
Abductees Mothers Association,named (unclassified),1,0,1,0,-1,-1
Punam Rane,named (unclassified),0,1,0,1,1,1
Namibia Food and Allied Workers Union,named (unclassified),0,1,0,1,1,1
Oromo Legacy Leadership and Advocacy Association (OLLAA),named (unclassified),1,0,1,0,-1,-1
Belgrade Center for Human Rights,named (unclassified),1,0,1,0,-1,-1
Ghannouchi and Chaima Issa,named (unclassified),1,0,1,0,-1,-1
Analyze Denmark,named (unclassified),1,0,1,0,-1,-1
National Democratic Institute,named (unclassified),0,1,0,1,1,1
In May the Inspectorate of Justice and Security,named (unclassified),1,0,1,0,-1,-1
Both ACLED and UNAMA,named (unclassified),1,0,1,0,-1,-1
Migration and Citizenship Services,named (unclassified),1,0,1,0,-1,-1
Bail Act,named (unclassified),1,0,1,0,-1,-1
National Labor Union Protection,named (unclassified),0,1,0,1,1,1
Iraqi Observatory for Human Rights,named (unclassified),1,0,1,0,-1,-1
Court of First Instance of Dixinn,named (unclassified),0,1,0,1,1,1
Directorate General for National Security (DGSN),named (unclassified),1,0,1,0,-1,-1
Homosexual Integration and Liberation Movement (MOVILH),named (unclassified),1,0,1,0,-1,-1
Jorge Fernández Era,named (unclassified),1,0,1,0,-1,-1
Federation of Jewish Communities of Spain (FCJE),named (unclassified),1,0,1,0,-1,-1
When NGOs,named (unclassified),1,0,1,0,-1,-1
El Faro,named (unclassified),1,0,1,0,-1,-1
Crina Boros,named (unclassified),1,0,1,0,-1,-1
Higher Commission for Planning,named (unclassified),0,1,0,1,1,1
Erbil-based Organization of Reporters for Rights and Development,named (unclassified),1,0,1,0,-1,-1
Center for Monitoring Attacks on Journalists,named (unclassified),0,1,0,1,1,1
Eswatini Sexual and Gender Minorities,named (unclassified),1,0,1,0,-1,-1
Evaluation of Social Development Policy,named (unclassified),1,0,1,0,-1,-1
Center (AFJC),named (unclassified),0,1,0,1,1,1
Moro Islamic Liberation Front,named (unclassified),0,1,0,1,1,1
Horn of Africa,named (unclassified),0,1,0,1,1,1
NGO ACAT-Burundi,named (unclassified),1,0,1,0,-1,-1
In January the BHC,named (unclassified),1,0,1,0,-1,-1
Legal Defense Institute,named (unclassified),1,0,1,0,-1,-1
Amazonas State,named (unclassified),1,0,1,0,-1,-1
Defense of Press Freedom in Iraq,named (unclassified),0,1,0,1,1,1
Authority for Persons,named (unclassified),1,0,1,0,-1,-1
Hong Kong,named (unclassified),0,1,0,1,1,1
Rio de Janeiro Institute of Public Security,named (unclassified),1,0,1,0,-1,-1
NGO Front Line Defenders,named (unclassified),1,0,1,0,-1,-1
Group of European States Against Corruption,named (unclassified),1,0,1,0,-1,-1
Defend the Defenders,named (unclassified),1,0,1,0,-1,-1
In June Oxfam,named (unclassified),0,1,0,1,1,1
ALQST and Prisoners of Conscience,named (unclassified),1,0,1,0,-1,-1
Ministry of Health and Social Welfare,named (unclassified),1,0,1,0,-1,-1
KRG Ministry of Culture and Youth,named (unclassified),1,0,1,0,-1,-1
Constitutional Declaration,named (unclassified),1,0,1,0,-1,-1
Human Rights and Business Report,named (unclassified),1,0,1,0,-1,-1
UN Human Rights Division,named (unclassified),1,0,1,0,-1,-1
Canadian Prime Minister Justin Trudeau,named (unclassified),0,1,0,1,1,1
Karen Human Rights Organization,named (unclassified),0,1,0,1,1,1
Antitrafficking NGOs,named (unclassified),1,0,1,0,-1,-1
Election Observation Mission,named (unclassified),1,0,1,0,-1,-1
Israel Prison Service,named (unclassified),1,0,1,0,-1,-1
Media Institute of Southern Africa in Mozambique (MISA),named (unclassified),1,0,1,0,-1,-1
Special Rapporteur for Freedom of Expression,named (unclassified),0,1,0,1,1,1
INSAF Center for Rights and Development,named (unclassified),1,0,1,0,-1,-1
In May National Investigative Service Director Borislav Sarafov,named (unclassified),1,0,1,0,-1,-1
Its Working Group on Arbitrary Detention,named (unclassified),1,0,1,0,-1,-1
Giorgi Diasamidze,named (unclassified),0,1,0,1,1,1
Minister of Home Affairs Saifuddin Nasution,named (unclassified),1,0,1,0,-1,-1
Ministry of External Affairs,named (unclassified),0,1,0,1,1,1
Guinea-Bissau Human Rights League (GBHRL),named (unclassified),1,0,1,0,-1,-1
National Statistics Institute,named (unclassified),2,1,1,1,-1,0
Yeremias Magai,named (unclassified),0,1,0,1,1,1
Ministry of Labour,named (unclassified),4,3,2,2,-1,0
Union of Seamstresses and Tailors,named (unclassified),1,0,1,0,-1,-1
HIV and AIDS,named (unclassified),1,0,1,0,-1,-1
Solomon Islands Planned Parenthood Association,named (unclassified),1,0,1,0,-1,-1
Milan Majersky,named (unclassified),1,0,1,0,-1,-1
Prisons Service,named (unclassified),1,0,1,0,-1,-1
Director of Immigration Debra Baptist Estrada,named (unclassified),1,0,1,0,-1,-1
State Secretariat for Citizenship and Equality,named (unclassified),1,0,1,0,-1,-1
Search and Follow-Up Department,named (unclassified),0,1,0,1,1,1
Samir Kassir Eyes Foundation,named (unclassified),1,0,1,0,-1,-1
NGO Federation of Women Lawyers,named (unclassified),1,0,1,0,-1,-1
Wassila Network,named (unclassified),1,0,1,0,-1,-1
Hun Sen,named (unclassified),1,0,1,0,-1,-1
Presov District Court,named (unclassified),1,0,1,0,-1,-1
Internet Watch Foundation,named (unclassified),1,0,1,0,-1,-1
Zimbabwe National Statistics Agency,named (unclassified),1,0,1,0,-1,-1
El Pais,named (unclassified),1,0,1,0,-1,-1
UN Joint Human Rights Office,named (unclassified),1,0,1,0,-1,-1
Danish Immigration Service,named (unclassified),1,0,1,0,-1,-1
UN Independent International Fact-Finding Mission,named (unclassified),0,1,0,1,1,1
Russian Jewish Congress (RJC),named (unclassified),1,0,1,0,-1,-1
In January China Digital Times and Radio Free Asia (RFA),named (unclassified),0,1,0,1,1,1
Libya Crimes Watch,named (unclassified),0,1,0,1,1,1
Some San,named (unclassified),1,0,1,0,-1,-1
NGO Ir Amim,named (unclassified),1,0,1,0,-1,-1
Status and Rights of Women,named (unclassified),1,0,1,0,-1,-1
Neges Mawon,named (unclassified),1,0,1,0,-1,-1
Albinism Royal Foundation Sierra Leone,named (unclassified),1,0,1,0,-1,-1
Employment Ministry and Labor Relations,named (unclassified),0,1,0,1,1,1
Trade Union Confederation of Georgia (GTUC),named (unclassified),1,0,1,0,-1,-1
Office of National Statistics,named (unclassified),0,1,0,1,1,1
Robert Kyagulanyi,named (unclassified),1,0,1,0,-1,-1
National College of Journalists,named (unclassified),1,0,1,0,-1,-1
Lunda Norte and Lunda Sul,named (unclassified),1,0,1,0,-1,-1
Discrimination Media,named (unclassified),1,0,1,0,-1,-1
Panel of Experts,named (unclassified),1,0,1,0,-1,-1
Commercial Farmers Union,named (unclassified),1,0,1,0,-1,-1
NGO Anti-Corruption Fund,named (unclassified),1,0,1,0,-1,-1
UN Joint Human Rights Office (UNJHRO),named (unclassified),1,0,1,0,-1,-1
NGO Aguda,named (unclassified),1,0,1,0,-1,-1
NGO Korea Future,named (unclassified),0,1,0,1,1,1
Ben Gvir,named (unclassified),1,0,1,0,-1,-1
NGO PRO ASYL,named (unclassified),1,0,1,0,-1,-1
Outright International,named (unclassified),1,0,1,0,-1,-1
Society for Inclusion and Development (SIDC),named (unclassified),1,0,1,0,-1,-1
Intelligence Minister Esmail Khatib,named (unclassified),1,0,1,0,-1,-1
Abbas Ali Kadkhodaei,named (unclassified),1,0,1,0,-1,-1
Federal Statistical Office,named (unclassified),1,0,1,0,-1,-1
NGO Silueta X,named (unclassified),1,0,1,0,-1,-1
Members of Bnei Menashe,named (unclassified),1,0,1,0,-1,-1
Antisemitism The World Jewish Congress,named (unclassified),1,0,1,0,-1,-1
In June the High Court,named (unclassified),1,0,1,0,-1,-1
In March Radio Free Europe,named (unclassified),1,0,1,0,-1,-1
NGO Citizen Action Against AIDS,named (unclassified),1,0,1,0,-1,-1
BBC Amharic,named (unclassified),2,1,1,1,-1,0
UN Human Rights Protection Group,named (unclassified),0,1,0,1,1,1
Institute for Jewish Policy Research,named (unclassified),0,1,0,1,1,1
Omani Association for Human Rights,named (unclassified),1,0,1,0,-1,-1
Annual Report on Children and Armed Conflict,named (unclassified),1,0,1,0,-1,-1
UN Program on HIV and AIDS,named (unclassified),1,0,1,0,-1,-1
European Roma Rights Center,named (unclassified),1,0,1,0,-1,-1
Multiple Indicator Cluster Survey,named (unclassified),1,0,1,0,-1,-1
Human Rights Directorate,named (unclassified),0,1,0,1,1,1
Public Authority,named (unclassified),0,1,0,1,1,1
Business and Human Rights Resource Center,named (unclassified),1,0,1,0,-1,-1
NGO Humanity First Cameroon,named (unclassified),1,0,1,0,-1,-1
Arab Times Kuwait,named (unclassified),0,1,0,1,1,1
In May CPT,named (unclassified),1,0,1,0,-1,-1
Danish Refugee Council (DRC),named (unclassified),1,0,1,0,-1,-1
Qatar-based Al-Jazeera,named (unclassified),1,0,1,0,-1,-1
UN Panel of Experts on Yemen (POE),named (unclassified),0,1,0,1,1,1
If the HRCSL,named (unclassified),1,0,1,0,-1,-1
Minister of Interior Soylu,named (unclassified),1,0,1,0,-1,-1
Attorneys in Transnistria,named (unclassified),1,0,1,0,-1,-1
COMCAVIS TRANS,named (unclassified),1,0,1,0,-1,-1
Cairo Institute for Human Rights Studies in November,named (unclassified),0,1,0,1,1,1
Center for Defending Freedom of Journalists (CDFJ),named (unclassified),1,0,1,0,-1,-1
National Commission for Human Rights and Citizenship,named (unclassified),0,1,0,1,1,1
International Holocaust Remembrance Alliance,named (unclassified),0,1,0,1,1,1
Open Observatory of Network Interference,named (unclassified),1,0,1,0,-1,-1
Physicians for Human Rights (PHR),named (unclassified),1,0,1,0,-1,-1
UNAMI Special Representative,named (unclassified),1,0,1,0,-1,-1
In May the Union of Bulgarian Medical Specialists,named (unclassified),1,0,1,0,-1,-1
NGO ANNA Center,named (unclassified),1,0,1,0,-1,-1
Commission for Prevention and Protection Against Discrimination,named (unclassified),1,0,1,0,-1,-1
Andrés Gómez,named (unclassified),1,0,1,0,-1,-1
Mahsa Zhina Amini,named (unclassified),1,0,1,0,-1,-1
Lawyers for Human Rights (LHR),named (unclassified),1,0,1,0,-1,-1
Human Rights Ombudsperson,named (unclassified),1,0,1,0,-1,-1
Freddy Superlano Salinas,named (unclassified),1,0,1,0,-1,-1
Prevent Torture,named (unclassified),0,1,0,1,1,1
Labor Congress,named (unclassified),1,0,1,0,-1,-1
University World News,named (unclassified),1,0,1,0,-1,-1
SAM Organization for Rights and Liberties,named (unclassified),1,0,1,0,-1,-1
UN Under-Secretary-General Bahous,named (unclassified),1,0,1,0,-1,-1
Hotline for Refugees and Migrants (HRM),named (unclassified),1,0,1,0,-1,-1
Bulgarian Center for Non-Profit Law (BCNL),named (unclassified),0,1,0,1,1,1
Iguales Foundation,named (unclassified),1,0,1,0,-1,-1
Office for Democratic Institutions and Human Rights (ODIHR),named (unclassified),1,0,1,0,-1,-1
Media NGOs,named (unclassified),0,1,0,1,1,1
Queer Rights,named (unclassified),1,0,1,0,-1,-1
Too Many,named (unclassified),1,0,1,0,-1,-1
In June the European Court of Justice (ECJ),named (unclassified),1,0,1,0,-1,-1
September the Agency,named (unclassified),1,0,1,0,-1,-1
International Coalition of Women and Family,named (unclassified),1,0,1,0,-1,-1
Prime Minister Mahathir,named (unclassified),1,0,1,0,-1,-1
National Coordinator for Human Rights,named (unclassified),1,0,1,0,-1,-1
Immigration Service,named (unclassified),0,1,0,1,1,1
Protection of National Minorities,named (unclassified),1,0,1,0,-1,-1
Parents and NGOs,named (unclassified),1,0,1,0,-1,-1
NGOs IraQueer and Outright,named (unclassified),1,0,1,0,-1,-1
Prime Minister Andrej Plenkovic,named (unclassified),1,0,1,0,-1,-1
New Communist Party of Italy,named (unclassified),0,1,0,1,1,1
Dahas PH,named (unclassified),1,0,1,0,-1,-1
Family (SPAVO),named (unclassified),1,0,1,0,-1,-1
In February the Auditor General,named (unclassified),1,0,1,0,-1,-1
Globe International Center,named (unclassified),2,1,1,1,-1,0
Nigeria Demographic and Health Survey,named (unclassified),1,0,1,0,-1,-1
Civil Service Commission,named (unclassified),1,0,1,0,-1,-1
Galym Ageleulov,named (unclassified),1,0,1,0,-1,-1
Minister of Development,named (unclassified),1,0,1,0,-1,-1
In April the NGO Indonesia Corruption Watch,named (unclassified),1,0,1,0,-1,-1
Demographic and Health Survey,named (unclassified),1,0,1,0,-1,-1
Human Rights Action (HRA),named (unclassified),1,0,1,0,-1,-1
Berman Jewish Data Bank,named (unclassified),1,0,1,0,-1,-1
Prevention of Torture,named (unclassified),1,0,1,0,-1,-1
Disabilities An NGO,named (unclassified),1,0,1,0,-1,-1
State Labor Inspectorate,named (unclassified),0,1,0,1,1,1
In June the Australian Broadcasting Corporation,named (unclassified),0,1,0,1,1,1
Mossawa Center,named (unclassified),1,0,1,0,-1,-1
Human Rights Division,named (unclassified),1,2,1,1,1,0
National Electoral Authority,named (unclassified),1,0,1,0,-1,-1
Specialized Criminal Court,named (unclassified),1,0,1,0,-1,-1
COI in July,named (unclassified),1,0,1,0,-1,-1
Zabihullah Mujahid,named (unclassified),0,1,0,1,1,1
National Survey of Sexual Diversity and Gender,named (unclassified),1,0,1,0,-1,-1
Human Rights Ombudsman,named (unclassified),1,0,1,0,-1,-1
Presidential Commission for Human Rights and Freedom of Expression,named (unclassified),0,1,0,1,1,1
Ombudsperson for Human Rights,named (unclassified),0,1,0,1,1,1
In July the Turkish Ministry of Labor and Social Security,named (unclassified),1,0,1,0,-1,-1
Central Highlands,named (unclassified),1,0,1,0,-1,-1
Justice NGOs,named (unclassified),1,0,1,0,-1,-1
South African Jewish Board of Deputies,named (unclassified),1,0,1,0,-1,-1
Center of Contemporary Jewish Documentation,named (unclassified),1,0,1,0,-1,-1
Committee to Protect Journalists,international NGO,15,16,14,16,1,2
Ministry of Information,named (unclassified),1,0,1,0,-1,-1
NGO National Security Forum,named (unclassified),1,0,1,0,-1,-1
Norwegian Police Security Service Hanne Blomberg,named (unclassified),1,0,1,0,-1,-1
Marzieh Mohebbi,named (unclassified),1,0,1,0,-1,-1
NGO Amadeu Antonio Foundation,named (unclassified),0,1,0,1,1,1
Onomo Hotel Conakry,named (unclassified),1,0,1,0,-1,-1
Norwegian Refugee Council,named (unclassified),1,0,1,0,-1,-1
Minister of Justice Alfonse Charles Wright,named (unclassified),1,0,1,0,-1,-1
Save the Children Romania,named (unclassified),1,0,1,0,-1,-1
Turkmenistan Helsinki Foundation for Human Rights NGO,named (unclassified),1,0,1,0,-1,-1
President Obiang,named (unclassified),1,0,1,0,-1,-1
NGOs Nisma Arsis and World Vision,named (unclassified),1,0,1,0,-1,-1
COR Committee on Labor and Social Affairs,named (unclassified),1,0,1,0,-1,-1
Turkish President Erdogan,named (unclassified),0,1,0,1,1,1
Antisemitism The Union of Jewish Communities,named (unclassified),1,0,1,0,-1,-1
Trade Union Confederation,named (unclassified),1,0,1,0,-1,-1
Coercion Activists,named (unclassified),0,1,0,1,1,1
NGO Committee,named (unclassified),1,0,1,0,-1,-1
Gender Equality Agency,named (unclassified),1,0,1,0,-1,-1
African Center for Justice and Peace Studies,named (unclassified),1,0,1,0,-1,-1
NGO Caribe Afirmativo,named (unclassified),1,0,1,0,-1,-1
NGO Zimbabwe Peace Project,named (unclassified),1,0,1,0,-1,-1
Albanian Disabilities Rights Foundation (ADRF),named (unclassified),1,0,1,0,-1,-1
NGO International Partnership for Human Rights (IPHR),named (unclassified),1,0,1,0,-1,-1
UN Committee,named (unclassified),1,0,1,0,-1,-1
In June the ILO,named (unclassified),1,0,1,0,-1,-1
Event Data (ACLED),named (unclassified),0,1,0,1,1,1
Union of Arab Students,named (unclassified),1,0,1,0,-1,-1
Kurdistan Human Rights Network (KHRN),named (unclassified),0,1,0,1,1,1
Antidiscrimination Center Memorial,named (unclassified),1,0,1,0,-1,-1
NGO Mission Wings,named (unclassified),1,0,1,0,-1,-1
National Security Service Director General Pheello Ralenkoane,named (unclassified),1,0,1,0,-1,-1
Leading NGOs,named (unclassified),1,0,1,0,-1,-1
In July the Ministry of Interior,named (unclassified),1,0,1,0,-1,-1
Prime Minister Lee,named (unclassified),1,0,1,0,-1,-1
Center for Trade Union and Workers Services,named (unclassified),1,0,1,0,-1,-1
Prison and Detention Center Conditions NGOs,named (unclassified),1,0,1,0,-1,-1
Abdorrahman Boroumand Center,named (unclassified),1,2,1,1,1,0
Turkish Cypriot NGOs,named (unclassified),0,1,0,1,1,1
Tatyana Dovlatova,named (unclassified),1,0,1,0,-1,-1
Daily Etilaatroz,named (unclassified),1,0,1,0,-1,-1
NGO International Center for Research on Women,named (unclassified),1,0,1,0,-1,-1
Press Union,named (unclassified),1,0,1,0,-1,-1
ROK NGOs,named (unclassified),1,0,1,0,-1,-1
Center for Human Rights in Iran (CHRI),named (unclassified),1,0,1,0,-1,-1
Cyber Unit,named (unclassified),1,0,1,0,-1,-1
Social Welfare,named (unclassified),1,0,1,0,-1,-1
Labor Ministry of Labor and Social Security,named (unclassified),0,1,0,1,1,1
Equal Rights Beyond Borders,named (unclassified),0,1,0,1,1,1
NGO Institute for Monitoring Peace and Cultural Tolerance in School Education,named (unclassified),0,1,0,1,1,1
Officials and NGOs,named (unclassified),1,0,1,0,-1,-1
In January Terrence Sandy,named (unclassified),0,1,0,1,1,1
Coordination of Humanitarian Affairs in Afghanistan,named (unclassified),1,0,1,0,-1,-1
UN Independent Fact-Finding Mission on Libya,named (unclassified),1,0,1,0,-1,-1
Ministry of Human Rights and Refugees,named (unclassified),1,0,1,0,-1,-1
NGO SOS-Medias,named (unclassified),0,1,0,1,1,1
NGO Girls Not Brides,named (unclassified),1,0,1,0,-1,-1
Prosecutor General,named (unclassified),1,0,1,0,-1,-1
Superior Judiciary Council,named (unclassified),0,1,0,1,1,1
Statistics Sweden,named (unclassified),1,0,1,0,-1,-1
NGO CAD,named (unclassified),0,1,0,1,1,1
NGOs Nisma Arsis and Terre des Hommes,named (unclassified),1,0,1,0,-1,-1
NGO ACCEPT,named (unclassified),1,0,1,0,-1,-1
In July Radio Free Asia (RFA),named (unclassified),1,0,1,0,-1,-1
President Rumen Radev,named (unclassified),1,0,1,0,-1,-1
In June the UN Human Rights Office in Seoul,named (unclassified),0,1,0,1,1,1
Association of Russian-speaking Intersex,named (unclassified),1,0,1,0,-1,-1
Center for Legal Resources,named (unclassified),1,0,1,0,-1,-1
NGO Cecodap,named (unclassified),1,0,1,0,-1,-1
National Union of Tunisian Journalists (SNJT),named (unclassified),0,1,0,1,1,1
Government Ethics Tribunal,named (unclassified),1,0,1,0,-1,-1
European-Saudi Organization for Human Rights (ESOHR),named (unclassified),1,0,1,0,-1,-1
National Council,named (unclassified),1,0,1,0,-1,-1
NGO Dignity Association,named (unclassified),1,0,1,0,-1,-1
VOA Amharic,named (unclassified),0,1,0,1,1,1
National Network for Children,named (unclassified),1,0,1,0,-1,-1
Afghan Journalists Center,named (unclassified),1,0,1,0,-1,-1
National Social Security Authority (NSSA),named (unclassified),1,0,1,0,-1,-1
Department of Social Affairs,named (unclassified),1,0,1,0,-1,-1
Novaya Gazeta Europe,named (unclassified),1,0,1,0,-1,-1
European Federation of Journalists,named (unclassified),1,0,1,0,-1,-1
Global Alliance of National Human Rights Institutions,named (unclassified),1,0,1,0,-1,-1
European Shoah Legacy Institute,named (unclassified),1,0,1,0,-1,-1
In March the Controller and Auditor General,named (unclassified),1,0,1,0,-1,-1
Task Force,named (unclassified),1,0,1,0,-1,-1
Wakiso District,named (unclassified),1,0,1,0,-1,-1
In March the Larnaca District Court,named (unclassified),1,0,1,0,-1,-1
Dagens Nyheter,named (unclassified),1,0,1,0,-1,-1
Palestinian Center for Development and Media Freedoms,named (unclassified),1,0,1,0,-1,-1
UN Fact- Finding Mission for Sudan,named (unclassified),0,1,0,1,1,1
Ethiopian Women Lawyers Association (EWLA),named (unclassified),1,0,1,0,-1,-1
Pressure The Argentina Journalism Forum (FOPEA),named (unclassified),0,1,0,1,1,1
Minas Gerais,named (unclassified),1,0,1,0,-1,-1
Islamabad Transgender Protection Unit,named (unclassified),1,0,1,0,-1,-1
Anti-Corruption Commission,named (unclassified),1,0,1,0,-1,-1
China Brief,named (unclassified),0,1,0,1,1,1
Agence France-Presse,named (unclassified),0,1,0,1,1,1
NGO Colibri,named (unclassified),1,0,1,0,-1,-1
NGO Community Security Trust (CST),named (unclassified),1,0,1,0,-1,-1
Midlands State University,named (unclassified),1,0,1,0,-1,-1
Jurandir Wellington,named (unclassified),1,0,1,0,-1,-1
Information and Publicity Minister Monica Mutsvangwa,named (unclassified),1,0,1,0,-1,-1
Vanguards of Liberation,named (unclassified),0,1,0,1,1,1
Ministry of Health and Social Action,named (unclassified),1,0,1,0,-1,-1
HRCSL and PWSL,named (unclassified),1,0,1,0,-1,-1
Threats of Violence Media,named (unclassified),0,1,0,1,1,1
Their Acts of Transnational Repression In October the Associated Press,named (unclassified),0,1,0,1,1,1
Lizandra Góngora Espinosa,named (unclassified),1,0,1,0,-1,-1
Mossawa Center for Arab Citizens in Israel,named (unclassified),1,0,1,0,-1,-1
ANNA Center,named (unclassified),1,0,1,0,-1,-1
In March the National Union of Media Workers,named (unclassified),0,1,0,1,1,1
Chadian Disability Organization,named (unclassified),1,0,1,0,-1,-1
Political Prisoners and Detainees The Ministry of Justice,named (unclassified),1,0,1,0,-1,-1
Fiji Independent Commission Against Corruption,named (unclassified),1,0,1,0,-1,-1
NGO Gay Group of Bahia,named (unclassified),1,0,1,0,-1,-1
Federal Intelligence and Investigation Agency,named (unclassified),1,0,1,0,-1,-1
La Gazette,named (unclassified),1,0,1,0,-1,-1
Prosecutorial Council,named (unclassified),1,0,1,0,-1,-1
NGO German AIDS Service Organization,named (unclassified),1,0,1,0,-1,-1
Under the Same Sun,named (unclassified),1,0,1,0,-1,-1
News Agency Fides,named (unclassified),1,0,1,0,-1,-1
Colombe Ivoire,named (unclassified),1,0,1,0,-1,-1
KRG Ministry of Health,named (unclassified),1,0,1,0,-1,-1
Vancouver Police Department,named (unclassified),1,0,1,0,-1,-1
NGO Community Security Trust,named (unclassified),0,1,0,1,1,1
LCS Commissioner Mating Nkakala,named (unclassified),1,0,1,0,-1,-1
Aleksandar Trifunovic and Nikola Moraca,named (unclassified),1,0,1,0,-1,-1
Statistical Center of Iran,named (unclassified),0,1,0,1,1,1
Office of Penitentiary Affairs,named (unclassified),1,0,1,0,-1,-1
Bolivarian Republic of Venezuela (FFM),named (unclassified),0,1,0,1,1,1
York University,named (unclassified),1,0,1,0,-1,-1
European Anti-Fraud Office (OLAF),named (unclassified),1,0,1,0,-1,-1
Department of Justice,named (unclassified),0,1,0,1,1,1
New York Times,named (unclassified),1,2,1,2,1,1
Gitano Secretariat Foundation (FSG),named (unclassified),1,0,1,0,-1,-1
Legal and Human Rights Centre (LHRC),named (unclassified),1,0,1,0,-1,-1
Prohibition of Chemical Weapons (OPCW),named (unclassified),1,0,1,0,-1,-1
National Primary Commission,named (unclassified),1,0,1,0,-1,-1
MPS Professional Standards Command,named (unclassified),0,1,0,1,1,1
National Police Board,named (unclassified),1,0,1,0,-1,-1
Mayor Assale Tiemoko,named (unclassified),1,0,1,0,-1,-1
Baloch Human Rights Council,named (unclassified),1,0,1,0,-1,-1
In July RFA,named (unclassified),1,0,1,0,-1,-1
Confederation of Israelite Associations in Venezuela,named (unclassified),0,1,0,1,1,1
Belgrade Mayor Aleksandar Sapic,named (unclassified),1,0,1,0,-1,-1
Agency for Participation,named (unclassified),1,0,1,0,-1,-1
Sexual Mutilation,named (unclassified),1,0,1,0,-1,-1
National Council for Crime Prevention,named (unclassified),0,1,0,1,1,1
Independent International Fact-Finding Mission on Iran,named (unclassified),0,1,0,1,1,1
Bio Med Central,named (unclassified),1,0,1,0,-1,-1
Media Council of Kenya,named (unclassified),0,1,0,1,1,1
Roma and Balkan-Egyptians,named (unclassified),1,0,1,0,-1,-1
Syrian Observatory for Human Rights,named (unclassified),2,1,1,1,-1,0
Iraqi Human Rights Observatory,named (unclassified),1,0,1,0,-1,-1
Aristegui Noticias,named (unclassified),1,0,1,0,-1,-1
SOS Homophobie,named (unclassified),1,0,1,0,-1,-1
Agency for Gender Equality,named (unclassified),1,0,1,0,-1,-1
Intermediate Court,named (unclassified),1,0,1,0,-1,-1
UN Human Rights Office and MINUSCA,named (unclassified),1,0,1,0,-1,-1
Office for Statistics Regulation,named (unclassified),1,0,1,0,-1,-1
Inter-American Commission on Human Rights (IACHR),named (unclassified),0,1,0,1,1,1
Discrimination CSOs,named (unclassified),1,0,1,0,-1,-1
LGBT Center,named (unclassified),1,0,1,0,-1,-1
Revista Factum,named (unclassified),1,0,1,0,-1,-1
Multidimensional Violence,named (unclassified),1,0,1,0,-1,-1
Russian LGBT Network,named (unclassified),1,0,1,0,-1,-1
An Oxfam Research Report,named (unclassified),1,0,1,0,-1,-1
University of Bristol,named (unclassified),1,0,1,0,-1,-1
Lebanon-based Gulf Centre for Human Rights,named (unclassified),1,0,1,0,-1,-1
In January the Commission,named (unclassified),1,0,1,0,-1,-1
NGO Fundamedios,named (unclassified),1,0,1,0,-1,-1
Human Rights Support Society (HRSS),named (unclassified),0,1,0,1,1,1
