source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
Ministry of Health and Welfare,named (unclassified),2,0,2,0,-2,-2
Pristina Basic Court,named (unclassified),2,0,1,0,-2,-1
Solidarity Center,named (unclassified),3,5,1,2,2,1
Displacement Tracking Matrix,named (unclassified),2,0,2,0,-2,-2
El País,named (unclassified),2,0,2,0,-2,-2
Organization for Economic Cooperation and Development,named (unclassified),3,1,3,1,-2,-2
Prevention of Torture (CPT),named (unclassified),3,1,3,1,-2,-2
Ministry of Health and Social Protection,named (unclassified),2,0,1,0,-2,-1
Antisemitism An,named (unclassified),2,0,2,0,-2,-2
Ethnic Hungarians,named (unclassified),2,0,1,0,-2,-1
International Partnership for Human Rights (IPHR),named (unclassified),2,0,2,0,-2,-2
In June RFA,named (unclassified),2,0,1,0,-2,-1
Bureau of Corrections and Rehabilitation,named (unclassified),2,0,1,0,-2,-1
China Digital Times,named (unclassified),2,0,1,0,-2,-1
Mozambican Bar Association,named (unclassified),0,2,0,1,2,1
Civil Service,named (unclassified),2,0,1,0,-2,-1
National Human Rights Commission (NHRC),named (unclassified),0,2,0,2,2,2
Federal Center,named (unclassified),2,0,1,0,-2,-1
Fact-Finding Mission,named (unclassified),0,2,0,1,2,1
Punishment (CPT),named (unclassified),4,2,4,2,-2,-2
Ombudsman for Equality,named (unclassified),2,0,1,0,-2,-1
Involuntary Disappearances,named (unclassified),0,2,0,2,2,2
Unit for Combatting Violence Against Women,named (unclassified),2,0,1,0,-2,-1
Ministry of Home Affairs,named (unclassified),2,0,2,0,-2,-2
Rights Center,named (unclassified),3,1,2,1,-2,-1
Post Courier,named (unclassified),0,2,0,1,2,1
UN Development Program and NGOs,named (unclassified),1,0,1,0,-1,-1
Fatemeh Sepehri,named (unclassified),1,0,1,0,-1,-1
State Border Guard,named (unclassified),0,1,0,1,1,1
Public Prosecutors Office,named (unclassified),1,0,1,0,-1,-1
Interreligious Council of BiH,named (unclassified),1,0,1,0,-1,-1
Democratic Republic of Congo (MONUSCO),named (unclassified),0,1,0,1,1,1
